Array size;Binary insertion sort Almost sorted array Operations;Binary insertion sort Almost sorted array Time;Binary insertion sort From 0 to 4000 array Operations;Binary insertion sort From 0 to 4000 array Time;Binary insertion sort From 0 to 5 array Operations;Binary insertion sort From 0 to 5 array Time;Binary insertion sort Reversed sorted array Operations;Binary insertion sort Reversed sorted array Time;Ciura sort Almost sorted array Operations;Ciura sort Almost sorted array Time;Ciura sort From 0 to 4000 array Operations;Ciura sort From 0 to 4000 array Time;Ciura sort From 0 to 5 array Operations;Ciura sort From 0 to 5 array Time;Ciura sort Reversed sorted array Operations;Ciura sort Reversed sorted array Time;First & second Iverson rule bubble sort Almost sorted array Operations;First & second Iverson rule bubble sort Almost sorted array Time;First & second Iverson rule bubble sort From 0 to 4000 array Operations;First & second Iverson rule bubble sort From 0 to 4000 array Time;First & second Iverson rule bubble sort From 0 to 5 array Operations;First & second Iverson rule bubble sort From 0 to 5 array Time;First & second Iverson rule bubble sort Reversed sorted array Operations;First & second Iverson rule bubble sort Reversed sorted array Time;First Iverson rule bubble sort Almost sorted array Operations;First Iverson rule bubble sort Almost sorted array Time;First Iverson rule bubble sort From 0 to 4000 array Operations;First Iverson rule bubble sort From 0 to 4000 array Time;First Iverson rule bubble sort From 0 to 5 array Operations;First Iverson rule bubble sort From 0 to 5 array Time;First Iverson rule bubble sort Reversed sorted array Operations;First Iverson rule bubble sort Reversed sorted array Time;Heap sort Almost sorted array Operations;Heap sort Almost sorted array Time;Heap sort From 0 to 4000 array Operations;Heap sort From 0 to 4000 array Time;Heap sort From 0 to 5 array Operations;Heap sort From 0 to 5 array Time;Heap sort Reversed sorted array Operations;Heap sort Reversed sorted array Time;Insertion sort Almost sorted array Operations;Insertion sort Almost sorted array Time;Insertion sort From 0 to 4000 array Operations;Insertion sort From 0 to 4000 array Time;Insertion sort From 0 to 5 array Operations;Insertion sort From 0 to 5 array Time;Insertion sort Reversed sorted array Operations;Insertion sort Reversed sorted array Time;Merge sort Almost sorted array Operations;Merge sort Almost sorted array Time;Merge sort From 0 to 4000 array Operations;Merge sort From 0 to 4000 array Time;Merge sort From 0 to 5 array Operations;Merge sort From 0 to 5 array Time;Merge sort Reversed sorted array Operations;Merge sort Reversed sorted array Time;Quick sort Almost sorted array Operations;Quick sort Almost sorted array Time;Quick sort From 0 to 4000 array Operations;Quick sort From 0 to 4000 array Time;Quick sort From 0 to 5 array Operations;Quick sort From 0 to 5 array Time;Quick sort Reversed sorted array Operations;Quick sort Reversed sorted array Time;Radix sort Almost sorted array Operations;Radix sort Almost sorted array Time;Radix sort From 0 to 4000 array Operations;Radix sort From 0 to 4000 array Time;Radix sort From 0 to 5 array Operations;Radix sort From 0 to 5 array Time;Radix sort Reversed sorted array Operations;Radix sort Reversed sorted array Time;Regular bubble sort Almost sorted array Operations;Regular bubble sort Almost sorted array Time;Regular bubble sort From 0 to 4000 array Operations;Regular bubble sort From 0 to 4000 array Time;Regular bubble sort From 0 to 5 array Operations;Regular bubble sort From 0 to 5 array Time;Regular bubble sort Reversed sorted array Operations;Regular bubble sort Reversed sorted array Time;Selection sort Almost sorted array Operations;Selection sort Almost sorted array Time;Selection sort From 0 to 4000 array Operations;Selection sort From 0 to 4000 array Time;Selection sort From 0 to 5 array Operations;Selection sort From 0 to 5 array Time;Selection sort Reversed sorted array Operations;Selection sort Reversed sorted array Time;Shell sort Almost sorted array Operations;Shell sort Almost sorted array Time;Shell sort From 0 to 4000 array Operations;Shell sort From 0 to 4000 array Time;Shell sort From 0 to 5 array Operations;Shell sort From 0 to 5 array Time;Shell sort Reversed sorted array Operations;Shell sort Reversed sorted array Time;Stable counting sort Almost sorted array Operations;Stable counting sort Almost sorted array Time;Stable counting sort From 0 to 4000 array Operations;Stable counting sort From 0 to 4000 array Time;Stable counting sort From 0 to 5 array Operations;Stable counting sort From 0 to 5 array Time;Stable counting sort Reversed sorted array Operations;Stable counting sort Reversed sorted array Time
2100;1019283;131056;14651413;1583943;14651979;1509570;29127428;2772454;600661;103326;808549;179302;519589;73420;597733;61004;25278522;3448678;41572235;11437035;39059380;10864742;55117641;12557383;33257205;3469332;47204034;10259276;44588958;9658040;59526601;12578734;1111098;288266;1092264;313871;916048;237296;1021192;263521;454115;81029;10928305;2045091;9573175;1811399;22083585;4144138;952308;113720;985418;188160;973923;147153;890499;154941;3056379;519946;485427;158986;4199856;676290;24342111;3742566;271187;43013;271187;47180;150297;23454;271187;43888;35690031;3715609;46164221;10000834;44809091;9537157;57319501;12341637;26505204;3625108;26520022;3689789;26501766;3591772;27898640;5973447;795247;128404;1074967;218106;669751;98401;792895;75325;219753;26004;223309;26408;111477;15436;226165;26664
2200;1063573;138030;16218719;1690895;16014305;1506652;31948532;3132861;633193;110878;855601;191216;546241;78438;636841;66775;25312322;3427015;45937712;12668477;42976322;11901547;60492143;13769313;35741905;3707274;51998905;11332889;48976672;10775239;65331046;13861007;1169964;294195;1150280;331228;972096;251683;1074604;275660;469715;82534;12115865;2263623;10464765;1947479;24235085;4508697;1007561;153190;1038768;197647;1027119;155694;937612;123325;2708104;461793;512096;170163;4005526;657832;26711261;4081720;283587;45957;283587;44922;157197;24888;283587;44666;39143531;4032302;50789681;10989143;49138581;10516536;62908901;13455703;29087498;3982074;29104448;4040079;29083710;4009226;30615584;6452679;784135;130698;1108207;237900;712351;105446;838687;76421;225053;26690;228609;27095;116777;16107;231465;29224
2300;1111250;146483;17763546;1828669;17382615;1647088;34900026;3506990;665533;114867;897733;200883;574741;81080;661477;64768;26365838;3591014;50251536;13825945;46880718;13044823;66116881;15097630;38229652;3939727;56880100;12515532;53434706;11828060;71405732;15052892;1229902;304844;1207664;347939;1019084;263997;1137112;289382;488085;86384;13285595;2455137;11356735;2189747;26486735;4894417;1056280;124385;1093372;206423;1079963;162237;985858;129162;2370158;409185;540577;179312;5116591;830397;29190411;4457518;295987;46945;295987;47994;164097;27095;295987;46883;42759801;4414863;55557311;12192174;53628451;11709363;68758451;14819845;31789860;4375434;31806794;4430847;31785734;4310312;33458724;7106718;808096;136376;1121104;240184;721432;101683;902416;90818;230353;28257;233909;27852;122077;16911;236765;28108
2400;1163191;150077;19276877;1897446;18770856;1775784;37980987;3537761;698017;121041;953761;227368;602137;85176;699337;78458;28211837;3967375;54610968;15192381;50844660;14257863;71991411;16177162;40720941;4240716;61900050;13683650;58049626;12922583;77750236;16372034;1293722;321059;1267448;360801;1068248;272532;1186904;304773;509675;88770;14431445;2662942;12257335;2322964;28838235;5402833;1112281;132413;1146975;254699;1133093;171468;1033576;136074;2034180;357606;568255;188794;5276686;865274;31779561;4877265;308387;49320;308387;50001;170997;27663;308387;49919;46539291;4800701;60461061;13344307;58286951;12807726;74867851;16114385;34611822;4729031;34630380;4819886;34607682;4835087;36426950;7739468;837679;138280;1298551;274165;802639;124165;925375;86123;235653;28226;239209;28523;127377;17576;242065;28963
2500;1216013;160138;20899837;2085647;20293088;1914685;41192447;3845150;730573;126023;995701;224261;629917;98053;723781;76113;29203394;3988454;59073192;16681190;55170550;15571456;78116085;17534033;43211416;4565555;67061170;14948812;62983330;14110622;84364844;17613342;1359936;333711;1330020;379351;1124430;286735;1242022;313210;530525;94479;15661245;3178931;13269315;2501068;31289855;5894159;1163581;137210;1201080;227082;1187187;178713;1081642;138214;2949157;501841;596032;195061;5120828;828979;34478711;5341721;320787;52090;320787;50908;177897;28098;320787;51952;50478041;5183298;65608761;14600837;63216831;13815546;81237371;17370091;37553770;5103969;37573254;5195586;37549700;5122078;39520398;8570833;866698;145817;1294498;273873;821386;131471;978682;96271;240953;28974;244509;29312;132677;18303;247365;29567
2600;1297801;192107;22455545;2304860;21810002;2077322;44533591;4327034;760585;131159;1047649;238950;658513;93588;754297;81039;40001047;5389808;63733446;17848304;59583379;17026764;84490615;19189693;51092440;5276482;72413294;16395776;68051645;15279800;91249348;19118402;1444474;347683;1388364;398151;1176482;296376;1297620;325954;574875;100346;16839515;3117593;14261065;2634895;33841355;6483041;1214470;142438;1254642;235381;1240265;182307;1130694;146442;3698157;629519;607536;209367;5914181;959262;37287861;5729172;333187;53278;333187;52838;184797;29383;333187;52838;54600291;5646315;70864931;15998392;68286481;14957634;87866771;18698659;40615472;5550801;40635792;5642552;40611780;5576499;42740510;9178024;935143;159877;1366735;287242;850399;131307;1025887;95641;247709;30530;249809;30003;137977;19015;252665;30315
2700;1336922;173153;24470288;2486763;23600480;2215879;48004085;4557137;792229;139233;1087333;246261;687613;97633;791773;83051;40024847;5490037;69297627;19613527;64378818;18253434;91114917;20385259;54195140;5569274;78455420;17677393;73458222;16709089;98403629;20631480;1504902;364226;1450014;410736;1228390;311720;1360010;353382;586475;107284;18371025;3398200;15377015;2873067;36492665;6795468;1265815;146821;1309089;247767;1294052;192650;1178706;153994;3824032;643563;703630;219581;6069882;973086;40207011;6153297;345587;55418;345587;55050;191697;30254;345587;56166;58849791;6106521;76634341;17220833;73640331;16434319;94755981;20261888;43797636;6150983;43820284;6052833;43793742;5920721;46085518;9935677;951394;157209;1384474;289653;869218;129269;1054594;100776;253009;30571;255109;30776;143277;19752;257965;30965
2800;1455885;191621;26207430;2592302;25439075;2416250;51605875;4807306;824857;145674;1132225;262466;716473;103746;831937;86174;49518180;6714306;74385621;20888273;69315299;19877278;97989723;22155857;62499899;6417843;84283733;19387264;79069524;17916139;105828358;22010219;1593504;386375;1510800;431032;1279044;336860;1411168;356812;658615;117683;19688555;3671024;16610865;3073684;39244395;7395517;1319472;153256;1363054;258647;1347467;201431;1227765;156764;2893114;496199;689261;227747;5778591;922424;43236161;6640737;357987;56709;357987;56831;198597;31288;357987;58900;63319831;6666613;82349771;18497438;79272081;17524326;101905611;21608821;47097554;6430827;47121510;6556625;47095812;6434350;49556316;10733946;989701;174489;1376245;305300;909133;151976;1099885;102973;258309;31237;260409;32471;148577;20485;263265;31784
2900;1493520;194268;28152029;2787875;27208467;2576537;55337109;5189672;854605;151127;1195213;272901;744589;108047;864397;90598;49534480;6708003;79957431;22650373;74181629;21003847;105114313;23768069;66455299;6906967;90486805;20582543;84735045;19482583;113522903;23744757;1656230;403153;1573730;446090;1333488;343736;1469316;372725;667215;118087;21165915;4010828;17797825;3311641;42095945;7779010;1372211;159784;1416915;265200;1401152;208732;1276313;164336;4080492;687600;684845;233379;7213748;1150899;46375311;7116707;370387;58675;370387;58721;205497;32450;370387;58864;67886331;6998359;88385031;20107397;85016941;19128734;109315061;23374412;50519752;6858895;50544966;6963717;50517794;6892462;53153822;11471610;1021357;179138;1465549;320337;924133;136396;1135093;106444;263609;31948;265709;33064;153877;21212;268565;32435
3000;1564607;211747;30025608;2954772;28997673;2733127;59198397;5689712;888025;156671;1234585;284492;774625;112901;921985;93614;56278131;7638568;85437320;24587008;79225585;22546908;112488867;25140249;72639803;7480545;96748264;22510146;90569828;20892236;121487429;25512637;1721268;424314;1635832;467348;1385076;353136;1523566;381286;704025;124119;22588455;4159272;18963755;3609364;45047465;8302888;1425906;166655;1470962;282905;1453703;215777;1325399;171545;7271689;1188689;731658;239662;7786483;1239449;49624461;7720990;382787;60887;382787;60656;212397;33479;382787;59330;72641041;7493560;94525471;21706408;90900771;20429414;116984481;24865689;54059746;7385123;54088184;7536307;54059758;7406443;56877628;12319303;1054912;188200;1560904;340889;958288;145664;1173904;115809;268909;32727;271009;42552;159177;21928;273865;33157
3100;1602648;208767;31967089;3118586;30949859;2906731;63190185;6451594;918301;161638;1282141;319912;803989;117908;979669;98908;56881333;7700715;91068840;26113111;84813106;24438784;120113661;26906567;77300276;7954001;103277753;24059944;96809908;22422691;129722147;27107328;1786440;434447;1697148;482897;1435668;361246;1588362;395724;715055;127528;24063155;4643235;20263995;3852456;48099185;8915312;1471343;208424;1526354;284072;1507203;270760;1375148;178042;6054683;992087;763545;252062;8379764;1349908;52983611;8120058;395187;62535;395187;62673;219297;35333;395187;62545;77529971;7956986;100878071;23450403;97078911;21899555;124914101;26575175;57722022;7909683;57753092;8016578;57721702;7821091;60728688;13205104;1195066;186403;1994434;380697;995338;150297;1198642;112880;274209;33423;276309;34519;164477;22599;279165;35804
3200;1636408;211640;34114605;3469957;32915980;3174364;67311869;6497013;948985;166179;1314457;301081;835249;124672;1002673;102179;56897633;7757808;97073555;27808317;90227032;25931484;127988335;28978759;81958076;8425236;110026336;25581813;103063832;23815306;138226769;28831354;1849722;443105;1756948;491555;1488694;377139;1644348;410378;723655;129162;25696425;4807674;21576935;3979299;51250805;9758766;1526608;176460;1580178;306457;1560488;235484;1423329;188410;6118377;1003412;800517;262763;9234855;1463941;56452761;8669342;407587;63139;407587;65233;226197;35548;407587;63109;82576471;8484746;107549241;25027927;103429751;23495915;133103621;28218721;61504182;8662686;61534924;8525465;61503700;8364958;64706562;14033259;1167100;175119;1947532;380989;1134988;180485;1246564;116239;279509;35399;281609;34344;169777;23342;284465;34703
3300;1675802;215920;36432660;3568906;35033069;3365386;71563629;6969912;980053;172994;1373461;311229;865549;128353;1041181;106117;57393573;7861002;103466171;30838394;96127370;29386736;136113057;31130342;86618538;8841369;117211221;27546347;109695124;25554216;147001449;30695495;1912516;464030;1817474;510622;1529902;392360;1701300;431354;734675;128424;27460735;5167349;22987465;4316974;54502465;10750412;1576922;183490;1634232;308213;1614509;238709;1471113;191539;6177629;1029406;800372;268999;10516057;1666585;60031911;9168537;419987;66268;419987;75673;233097;35906;419987;66488;87785391;8968391;114511451;26589393;110038181;25060997;141553181;30389227;65406284;9016279;65437480;9073699;65405740;8853913;68810442;14993899;1189381;221050;1799725;382172;1065877;162176;1332349;128624;284809;37278;286909;35169;175077;24069;289765;35338
3400;1709704;225192;38542509;3784453;37151046;3492213;75945226;7197291;1010065;174172;1423153;333255;893689;132357;1060993;105098;57409873;8204308;109783593;31903805;101912934;30283443;144487536;33640120;91276338;9399613;124368664;29145512;116359497;27414420;156045850;32320235;1976584;479989;1880540;536135;1588026;404684;1758948;440596;743275;131773;29065065;5411665;24371245;4548014;57854025;10686924;1626252;228587;1688864;326968;1667898;290739;1519860;198732;6214953;1050229;851868;277765;9324575;1486300;63721061;9997675;432387;69160;432387;68480;239997;38850;432387;68367;93151891;9502371;121473681;28393108;116779861;26522721;150262641;32142561;69428414;9634099;69461556;9502827;69427740;9426037;73040956;15992683;1203322;227025;1813282;378060;1119946;177966;1329778;125823;290109;35517;292209;36802;180377;24862;295065;36142
3500;1747883;226211;40557319;3950305;39181203;3653345;80456986;7522539;1040461;177971;1475317;331535;923293;136448;1117453;113976;58400155;8088099;116205352;33920788;107461750;32198753;153112381;35486940;95936899;9862497;131572625;31258367;122952357;28993459;165360671;34607503;2041448;488657;1943484;558673;1640754;412963;1823550;457318;754385;132874;30596015;5853624;25624915;4757555;61305685;11800069;1680492;197969;1743038;346373;1722270;256107;1568336;226037;6274333;1032867;881705;289648;11323644;1788160;67520211;10307353;444787;68945;444787;73825;246897;38707;444787;70051;98680901;10233057;128522531;29960058;123551431;28560640;159232201;33755151;73570558;10081044;73605230;10133355;73569778;10046535;77397550;17006832;1230640;209469;1834840;386677;1124464;167526;1366864;127969;295409;36367;297509;36602;185677;25482;300365;36802
3600;1783119;234746;42789663;4175728;41643623;4169697;85098534;8079933;1069993;182743;1516201;341913;952705;139525;1128601;111918;58413955;7987665;122748407;35951820;114236485;33898460;161986979;37812398;100593599;10294615;139103602;32775818;130401461;30840069;174945204;36371020;2105032;508840;2002498;572538;1686002;428134;1877742;472570;761985;133150;32294715;6029496;27171525;5020533;64857265;12101411;1733989;204308;1797360;341391;1775558;265103;1618170;210775;6312579;1055600;878305;301911;10676711;1723243;71429361;10947194;457187;70850;457187;76687;253797;39936;457187;70830;104366401;10597913;135899131;32163481;130775941;30209233;168461681;35861939;77832738;10551654;77869048;10899819;77831692;10553589;81880540;17902622;1286839;203125;2230207;426680;1207951;189393;1437991;137087;300709;37130;302809;37370;190977;26204;305665;39290
3700;1819259;235223;45252817;4464962;44098217;4114698;89870381;8391685;1099237;190515;1563109;392038;981349;144911;1176277;119828;58427755;8128281;129605423;38390553;120606611;35703910;171111789;39574097;105250299;10649461;146993916;35032417;137759335;32780968;184799970;38537067;2169066;525306;2064154;589388;1741424;442147;1936174;500116;769585;136739;34170975;6666803;28737065;5314795;68508975;12725780;1776452;210037;1852396;354585;1829692;274903;1666848;218900;6367521;1048560;969297;307916;13118134;2071091;75448511;11650017;469587;74327;469587;75540;260697;40289;469587;74280;110211901;11218949;143613291;33839595;138179381;32046489;177951291;37972700;82214918;11175930;82250662;11297269;82213820;11252618;86490184;19174067;1317640;237660;1888600;416916;1184272;176363;1470880;140968;306009;37867;308109;38113;196277;26961;310965;38292
3800;1898859;246461;47992663;4685583;46646518;4379176;94772342;9144842;1137457;243758;1608889;428600;1011961;181923;1205857;132715;86798615;11843266;137072244;40379054;127267669;37648363;180486619;41657774;110311112;11143536;155277924;37013995;145340174;34645765;194924735;40700707;2234506;533401;2127584;667883;1796474;518379;1997342;497561;811595;144522;36259555;6826680;30384935;5634462;72260725;13507128;1825946;215214;1907170;367795;1884103;283694;1715990;226273;6916603;1135871;947479;318638;11890521;1883499;79577661;12147543;481987;76247;481987;78320;267597;41328;481987;76241;116251811;11930076;151699771;36058777;145825151;33892592;187700941;40148321;86714980;11812607;86754630;11937520;86715894;11741926;91227558;20145039;1314040;221076;2117320;448906;1218688;186173;1508944;147840;311309;38604;313409;41190;201577;27709;316265;39879
3900;1976396;255805;50626635;4881653;49210647;4872816;99804124;9458652;1166869;202204;1663261;450063;1041589;184028;1250629;127528;96111947;13041745;144606939;42835927;134312487;40300999;190111341;43778012;121111394;12338032;163579164;39157032;153284637;36873308;205319401;42918804;2306136;554224;2190912;624087;1849288;462771;2058480;511984;851355;151674;38267015;7491476;32106365;6084720;76112385;14298895;1878024;222192;1961349;376453;1937380;292208;1765868;232545;7580718;1208084;1002904;326799;13244843;2118097;83816811;12869022;494387;76989;494387;77388;274497;43248;494387;78622;122449471;12604881;159865131;37998336;153704481;36048312;197710501;42114380;91332324;12533375;91376792;12575298;91337818;12351150;96092280;21038873;1370659;236958;2003395;438937;1253155;186731;1569475;152965;316609;40345;318709;39557;206877;28456;321565;40719
4000;2034177;265292;53040015;5097518;51807554;4831984;104965493;9813882;1205041;209305;1712377;394398;1068697;160322;1269745;131635;99025611;13574497;151722479;45022940;141272469;41933706;199985843;46394506;126701675;12795438;171979444;41419263;161250244;38746731;215983846;45282800;2374770;571765;2252846;635074;1896704;477137;2114334;523182;875665;183214;40104585;7643796;33843615;6328719;80063885;15227591;1927113;227404;2016070;385279;1990396;299760;1815804;238095;12611207;2026280;991593;339159;14666199;2345338;88165961;13460956;506787;80363;506787;82017;281397;45655;506787;82554;128791681;13193251;168020601;40221557;161759631;38047600;207979901;44433909;96072204;12954178;96119432;13267271;96079788;13129953;101082960;22426752;1409365;247214;2109205;463354;1332829;214128;1605445;156769;321909;40063;324037;40314;212177;29127;326865;40504
4100;2090072;278394;55546494;5712517;54308111;5215615;110257357;10611399;1234669;214097;1757149;403865;1097725;164490;1289173;136028;100426270;13774310;159317017;47679984;148268831;44579343;210110533;49423400;132290097;13505300;180525724;43768069;169320805;40602516;226918502;47389916;2441524;615644;2314732;658324;1944896;492917;2172122;618214;898285;159938;42013605;7820697;35486915;6586572;84115495;15854146;1965946;254796;2071062;388940;2044816;302556;1867265;240194;7224821;1077237;1044256;343096;14685931;2314255;92625111;14199464;519187;84239;519187;82437;288297;45327;519187;82206;135292201;13714309;176407521;42561259;169880831;40160788;218509411;46560650;100929934;13797201;100983620;13861806;100941646;13727109;106201016;23306920;1646567;218117;3755831;629114;1539695;237086;1707143;154132;329337;41082;329337;42967;217477;29880;332165;41195
