Array size;Binary insertion sort Almost sorted array Operations;Binary insertion sort Almost sorted array Time;Binary insertion sort From 0 to 4000 array Operations;Binary insertion sort From 0 to 4000 array Time;Binary insertion sort From 0 to 5 array Operations;Binary insertion sort From 0 to 5 array Time;Binary insertion sort Reversed sorted array Operations;Binary insertion sort Reversed sorted array Time;Ciura sort Almost sorted array Operations;Ciura sort Almost sorted array Time;Ciura sort From 0 to 4000 array Operations;Ciura sort From 0 to 4000 array Time;Ciura sort From 0 to 5 array Operations;Ciura sort From 0 to 5 array Time;Ciura sort Reversed sorted array Operations;Ciura sort Reversed sorted array Time;First & second Iverson rule bubble sort Almost sorted array Operations;First & second Iverson rule bubble sort Almost sorted array Time;First & second Iverson rule bubble sort From 0 to 4000 array Operations;First & second Iverson rule bubble sort From 0 to 4000 array Time;First & second Iverson rule bubble sort From 0 to 5 array Operations;First & second Iverson rule bubble sort From 0 to 5 array Time;First & second Iverson rule bubble sort Reversed sorted array Operations;First & second Iverson rule bubble sort Reversed sorted array Time;First Iverson rule bubble sort Almost sorted array Operations;First Iverson rule bubble sort Almost sorted array Time;First Iverson rule bubble sort From 0 to 4000 array Operations;First Iverson rule bubble sort From 0 to 4000 array Time;First Iverson rule bubble sort From 0 to 5 array Operations;First Iverson rule bubble sort From 0 to 5 array Time;First Iverson rule bubble sort Reversed sorted array Operations;First Iverson rule bubble sort Reversed sorted array Time;Heap sort Almost sorted array Operations;Heap sort Almost sorted array Time;Heap sort From 0 to 4000 array Operations;Heap sort From 0 to 4000 array Time;Heap sort From 0 to 5 array Operations;Heap sort From 0 to 5 array Time;Heap sort Reversed sorted array Operations;Heap sort Reversed sorted array Time;Insertion sort Almost sorted array Operations;Insertion sort Almost sorted array Time;Insertion sort From 0 to 4000 array Operations;Insertion sort From 0 to 4000 array Time;Insertion sort From 0 to 5 array Operations;Insertion sort From 0 to 5 array Time;Insertion sort Reversed sorted array Operations;Insertion sort Reversed sorted array Time;Merge sort Almost sorted array Operations;Merge sort Almost sorted array Time;Merge sort From 0 to 4000 array Operations;Merge sort From 0 to 4000 array Time;Merge sort From 0 to 5 array Operations;Merge sort From 0 to 5 array Time;Merge sort Reversed sorted array Operations;Merge sort Reversed sorted array Time;Quick sort Almost sorted array Operations;Quick sort Almost sorted array Time;Quick sort From 0 to 4000 array Operations;Quick sort From 0 to 4000 array Time;Quick sort From 0 to 5 array Operations;Quick sort From 0 to 5 array Time;Quick sort Reversed sorted array Operations;Quick sort Reversed sorted array Time;Radix sort Almost sorted array Operations;Radix sort Almost sorted array Time;Radix sort From 0 to 4000 array Operations;Radix sort From 0 to 4000 array Time;Radix sort From 0 to 5 array Operations;Radix sort From 0 to 5 array Time;Radix sort Reversed sorted array Operations;Radix sort Reversed sorted array Time;Regular bubble sort Almost sorted array Operations;Regular bubble sort Almost sorted array Time;Regular bubble sort From 0 to 4000 array Operations;Regular bubble sort From 0 to 4000 array Time;Regular bubble sort From 0 to 5 array Operations;Regular bubble sort From 0 to 5 array Time;Regular bubble sort Reversed sorted array Operations;Regular bubble sort Reversed sorted array Time;Selection sort Almost sorted array Operations;Selection sort Almost sorted array Time;Selection sort From 0 to 4000 array Operations;Selection sort From 0 to 4000 array Time;Selection sort From 0 to 5 array Operations;Selection sort From 0 to 5 array Time;Selection sort Reversed sorted array Operations;Selection sort Reversed sorted array Time;Shell sort Almost sorted array Operations;Shell sort Almost sorted array Time;Shell sort From 0 to 4000 array Operations;Shell sort From 0 to 4000 array Time;Shell sort From 0 to 5 array Operations;Shell sort From 0 to 5 array Time;Shell sort Reversed sorted array Operations;Shell sort Reversed sorted array Time;Stable counting sort Almost sorted array Operations;Stable counting sort Almost sorted array Time;Stable counting sort From 0 to 4000 array Operations;Stable counting sort From 0 to 4000 array Time;Stable counting sort From 0 to 5 array Operations;Stable counting sort From 0 to 5 array Time;Stable counting sort Reversed sorted array Operations;Stable counting sort Reversed sorted array Time
1100;448556;59955;4085077;429567;3966504;381982;8084012;765327;287179;49269;382435;84459;248971;32614;281659;28211;6923287;959150;11411401;2943943;10713685;2735769;15121057;3432048;8622598;923980;12929835;2602920;12237742;2380687;16330524;3410657;520868;129832;525750;148131;450762;114488;485768;132080;191805;33187;2976625;548945;2578365;478791;6067515;1115166;464909;54681;478307;87178;473665;71505;433647;62965;617801;110295;228342;71280;1147266;189245;6700611;1017958;147187;24355;147187;23567;81297;13844;147187;23511;9848721;1058964;12633541;2562754;12235281;2353904;15724431;3358617;7283856;1022720;7290106;1032555;7282002;1012029;7654808;1504450;347433;54896;469161;96803;325473;45516;376521;35706;163309;18554;170141;19983;58477;8232;173165;20362
1200;512675;73221;4853701;509276;4769631;462540;9603248;909255;317179;54292;419035;92467;274627;36874;312019;30182;9458175;1303910;13546531;3498562;12796557;3281361;17995779;4058557;11650534;1238364;15383799;3129692;14596443;2876866;19435190;4124600;577362;143513;578566;165483;499276;128486;535882;137031;224605;48240;3551105;781762;3081305;637900;7219175;1435893;514850;63856;528490;95692;523430;76897;478319;61767;1015037;176291;252323;78776;1338435;219304;7969761;1220746;159587;26393;159587;25477;88197;14049;159587;25451;11719421;1245542;15045921;3066639;14576121;2833725;18713991;4068183;8666064;1199032;8673216;1223403;8664024;1206225;9110364;1808972;374493;59525;530157;110663;355245;51701;415941;39347;168609;19240;175441;19957;63777;8944;178465;20131
1300;570189;76697;5723418;600360;5617884;541306;11252630;1067571;346819;59924;469699;103265;302395;41067;364075;35087;10672592;1573150;15953770;4251453;14962013;3873996;21120561;4821606;13427290;1429253;18094967;3851627;17097819;3425264;22809911;4759982;636176;158433;635262;181207;544676;139944;590184;156876;251165;44759;4202345;787952;3609385;707773;8470885;1595719;561815;65776;578612;104765;573277;86594;523546;66974;1306737;229570;272612;88048;1530514;252267;9348911;1424926;171987;27412;171987;27453;95097;14801;171987;27412;13743881;1464668;17695061;3628083;17102101;3394744;21963601;4708500;10168342;1406361;10176544;1433717;10165902;1409745;10693294;2143073;420153;68152;599865;126156;386073;56396;462513;43248;173909;19911;180909;20587;69077;9687;183765;20776
1400;636033;82350;6662041;688593;6594008;646527;13031640;1242859;377683;66186;514507;113151;329131;45823;380851;36710;12657373;1763804;18591668;4918840;17408046;4565242;24495187;5523773;15612395;1664977;21046373;4346270;19857997;4011960;26454489;5529262;698324;176670;690920;197826;591088;152396;642488;166190;285025;50334;4906945;918947;4228785;790927;9822465;1925724;611798;74941;629222;127385;623128;93045;568755;78428;1041805;185098;305330;96640;1742882;286883;10838061;1661547;184387;29337;184387;30295;101997;16194;184387;29352;15935641;1702067;20557561;4266081;19879401;3954160;25473081;5429114;11790036;1623592;11799686;1661614;11787854;1618841;12402724;2517038;444867;76236;586947;132341;407427;58183;495603;46417;179209;20664;186209;21273;74377;10393;189065;21591
1500;682700;88591;7680911;789770;7586237;730255;14940574;1431167;409651;71086;558931;123888;354427;49034;416299;40028;12904276;1804252;21327783;5644400;19962352;5260462;28119813;6421437;17534363;1924500;24203731;5072153;22800737;4663234;30369067;6409589;753604;189096;748492;213585;636766;164961;698018;236912;302505;54000;5673535;1082915;4887035;901324;11274045;2103039;661595;81546;679437;132239;672815;106224;614526;80701;1298035;227747;342829;109849;2000933;327982;12437211;1904988;196787;30719;196787;30745;108897;17013;196787;30689;18271021;1951088;23642051;4905861;22855551;4581468;29242561;6357836;13531994;1896448;13542470;1929876;13529854;1889981;14238250;2923105;476826;82821;684978;150338;434226;61859;528786;51686;184509;21314;191509;21975;79677;11064;194365;22353
1600;727149;94699;8729368;938388;8663942;857451;16979728;1592601;439627;76533;598843;133585;378283;52398;432163;41666;12941195;1808153;24349218;6454932;22786047;6172646;31994415;7216936;19454989;2059776;27550313;5800688;25978782;5374883;34553623;7239792;805616;202885;804534;229611;680546;177198;747574;206868;318765;57354;6461995;1205032;5610445;1039825;12825605;2500121;709923;84833;730251;138193;722177;110704;660291;87398;1416269;246814;360539;114483;2266910;369418;14146361;2215306;209187;34442;209187;32655;115797;18001;209187;33244;20765181;2188072;26908411;5625308;26056861;5295001;33272021;7090872;15394280;2116505;15405590;2173189;15391868;2149463;16199026;3324984;544362;84515;794994;162938;511842;84049;561018;52792;189809;22051;196809;22707;84977;11811;199665;22978
1700;788169;103173;9830838;994734;9622159;914652;19149161;1790499;470467;80942;641467;139576;403555;58147;480211;46888;15903768;2212264;27463032;7436968;25655193;6971699;36119125;8361681;21388870;2379648;31096737;6557716;29244502;6113623;39008278;8170598;868208;219975;860080;247234;727264;188748;804368;207196;347075;60682;7291245;1359918;6227315;1170780;14477255;2700948;757711;90705;780646;147010;771769;116628;705417;92887;2142537;417356;375828;134978;2417187;438574;15965511;2464107;221587;37514;221587;35292;122697;19399;221587;34524;23431391;2461317;30375561;6444840;29311631;6028359;37561571;8212899;17377010;2391326;17388436;2425200;17373872;2385039;18286472;3765365;552060;93629;783396;166722;509868;77516;599148;57006;195109;23736;202109;23439;90277;12497;204965;24622
1800;836706;116920;10983794;1108433;10754851;1023052;21448583;2001126;501361;89594;681793;151956;432121;60584;509041;50949;16146006;2233922;30663154;8299729;28729198;7809146;40493823;9088281;23312103;2450933;34745454;7417379;32766117;7001640;43732922;9132764;924250;232432;916042;263096;773540;245278;856276;220282;365705;63800;8160485;1508961;6973565;1314124;16228895;3033349;807098;96563;831243;155591;821937;122557;751295;98150;1782683;314455;414385;133196;2370079;410588;17894661;2742287;233987;36428;233987;36413;129597;20090;233987;36449;26247921;2734632;34042701;7217756;32855781;6770437;42111111;8945315;19479378;2687272;19491918;2722288;19475866;2665599;20501138;4252221;586197;93194;926325;189235;548229;85867;649437;61081;200409;24586;207409;24186;95577;13230;210265;25359
1900;878159;116613;12161403;1229214;12042844;1200348;23877842;2249912;534181;91904;713413;162713;460117;63375;522037;51184;16184830;2264663;34251746;9504496;31999219;8751083;45118437;10134169;25233081;2644331;38787184;8382991;36530789;7933496;48727489;10184734;977610;245140;974476;280683;818168;212367;915706;235796;382285;66611;9048165;1822351;7840405;1448673;18080465;3354787;851158;102656;882695;167603;872278;133283;796818;104954;1965067;341647;442263;142469;2757413;450114;19933811;3076408;246387;41216;246387;39992;136497;22451;246387;38348;29222401;3061002;37888281;8243389;36680521;7639208;46920581;9947054;21701652;2992148;21714400;3080657;21697732;3072942;22841742;4760064;612882;107192;865386;190755;545970;78929;680130;64931;205709;25067;212709;24919;100877;13962;215565;25175
2000;940078;124390;13378397;1518325;13135553;1276881;26437112;2512343;565825;98094;763537;174760;489241;68582;570289;58849;19837215;2943600;37678030;10292802;35336828;9777459;49993063;11305415;27168040;2990894;42847109;9216471;40375326;8712355;53992067;11270640;1038334;260848;1031770;297748;875214;226795;963718;247203;411575;71751;9966505;1833886;8541235;1574686;20032045;3842191;898943;107284;933076;177059;921757;139755;843822;111211;2649054;470845;440943;152601;3867540;635023;22082961;3372984;258787;40232;258787;41113;143397;22579;258787;40258;32369591;3349094;41924521;8982906;40499251;8523888;51990061;11260938;24044060;3299087;24057578;3372743;24039654;3320606;25307940;5279841;649947;115578;925467;205055;605739;97771;725259;68469;214453;25226;218009;25640;106177;15001;220865;25912
